gridcode,area,areakm2
20,7.444236554782024,7.444236554782024e-06
30,20.03283022274071,2.003283022274071e-05
40,0.3963114126759881,3.9631141267598806e-07
50,3.0271381693675288,3.027138169367529e-06
80,4.479002655217325,4.479002655217326e-06
90,1.3112250030136248,1.3112250030136247e-06
111,1.76934818296384,1.76934818296384e-06
112,286.39250354936405,0.00028639250354936405
114,0.09003842945801321,9.003842945801321e-08
115,216.16169600737032,0.00021616169600737031
116,14.530265624193403,1.4530265624193403e-05
122,107.6983216547804,0.0001076983216547804
124,0.3470526783874053,3.470526783874053e-07
125,0.28345700217995184,2.8345700217995183e-07
126,235.4289183605143,0.0002354289183605143
